2024-10-24T13:05:41.024752578Z I1024 13:05:41.024737       1 nodelink_controller.go:294] Watched machine event, finding node to reconcile.Request
2024-10-24T13:05:41.024759988Z I1024 13:05:41.024749       1 nodelink_controller.go:337] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-master-1"
2024-10-24T13:05:41.024759988Z I1024 13:05:41.024755       1 nodelink_controller.go:354] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-master-1" by providerID
2024-10-24T13:05:41.024767558Z W1024 13:05:41.024760       1 nodelink_controller.go:356] Machine "ci-op-2fcpj5j6-f6035-2lklf-master-1" has no providerID
2024-10-24T13:05:41.024767558Z I1024 13:05:41.024764       1 nodelink_controller.go:378] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-master-1" by IP
2024-10-24T13:05:41.024775938Z W1024 13:05:41.024770       1 nodelink_controller.go:389] not found internal IP for machine "ci-op-2fcpj5j6-f6035-2lklf-master-1"
2024-10-24T13:05:41.024782668Z I1024 13:05:41.024775       1 nodelink_controller.go:331] No-op: Node for machine "ci-op-2fcpj5j6-f6035-2lklf-master-1" not found
2024-10-24T13:05:41.024789138Z I1024 13:05:41.024783       1 nodelink_controller.go:294] Watched machine event, finding node to reconcile.Request
2024-10-24T13:05:41.024823668Z I1024 13:05:41.024805       1 nodelink_controller.go:337] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-master-2"
2024-10-24T13:05:41.024823668Z I1024 13:05:41.024815       1 nodelink_controller.go:354] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-master-2" by providerID
2024-10-24T13:05:41.024823668Z W1024 13:05:41.024820       1 nodelink_controller.go:356] Machine "ci-op-2fcpj5j6-f6035-2lklf-master-2" has no providerID
2024-10-24T13:05:41.024843308Z I1024 13:05:41.024824       1 nodelink_controller.go:378] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-master-2" by IP
2024-10-24T13:05:41.024843308Z W1024 13:05:41.024830       1 nodelink_controller.go:389] not found internal IP for machine "ci-op-2fcpj5j6-f6035-2lklf-master-2"
2024-10-24T13:05:41.024843308Z I1024 13:05:41.024835       1 nodelink_controller.go:331] No-op: Node for machine "ci-op-2fcpj5j6-f6035-2lklf-master-2" not found
2024-10-24T13:05:41.024843308Z I1024 13:05:41.024840       1 nodelink_controller.go:294] Watched machine event, finding node to reconcile.Request
2024-10-24T13:05:41.024871248Z I1024 13:05:41.024851       1 nodelink_controller.go:337] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x"
2024-10-24T13:05:41.024871248Z I1024 13:05:41.024859       1 nodelink_controller.go:354] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x" by providerID
2024-10-24T13:05:41.024871248Z W1024 13:05:41.024864       1 nodelink_controller.go:356] Machine "ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x" has no providerID
2024-10-24T13:05:41.024879058Z I1024 13:05:41.024868       1 nodelink_controller.go:378] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x" by IP
2024-10-24T13:05:41.024879058Z W1024 13:05:41.024874       1 nodelink_controller.go:389] not found internal IP for machine "ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x"
2024-10-24T13:05:41.024885908Z I1024 13:05:41.024880       1 nodelink_controller.go:331] No-op: Node for machine "ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x" not found
2024-10-24T13:05:41.024892338Z I1024 13:05:41.024886       1 nodelink_controller.go:294] Watched machine event, finding node to reconcile.Request
2024-10-24T13:05:41.024923068Z I1024 13:05:41.024904       1 nodelink_controller.go:337] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-worker-b-hj8l2"
2024-10-24T13:05:41.024923068Z I1024 13:05:41.024912       1 nodelink_controller.go:354] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-worker-b-hj8l2" by providerID
2024-10-24T13:05:41.024923068Z W1024 13:05:41.024918       1 nodelink_controller.go:356] Machine "ci-op-2fcpj5j6-f6035-2lklf-worker-b-hj8l2" has no providerID
2024-10-24T13:05:41.024933008Z I1024 13:05:41.024921       1 nodelink_controller.go:378] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-worker-b-hj8l2" by IP
2024-10-24T13:05:41.024933008Z W1024 13:05:41.024927       1 nodelink_controller.go:389] not found internal IP for machine "ci-op-2fcpj5j6-f6035-2lklf-worker-b-hj8l2"
2024-10-24T13:05:41.024941198Z I1024 13:05:41.024932       1 nodelink_controller.go:331] No-op: Node for machine "ci-op-2fcpj5j6-f6035-2lklf-worker-b-hj8l2" not found
2024-10-24T13:05:41.024950438Z I1024 13:05:41.024944       1 nodelink_controller.go:294] Watched machine event, finding node to reconcile.Request
2024-10-24T13:05:41.024975278Z I1024 13:05:41.024956       1 nodelink_controller.go:337] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-worker-c-z8hfz"
