2024-10-24T13:34:18.430947524Z I1024 13:34:18.430854       1 reflector.go:359] Caches populated for *v1.EndpointSlice from github.com/openshift/router/pkg/router/controller/factory/factory.go:124
2024-10-24T13:34:18.496374301Z I1024 13:34:18.496306       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T13:34:23.493906270Z I1024 13:34:23.493813       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T14:07:56.111620039Z I1024 14:07:56.111448       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T14:08:01.116833766Z I1024 14:08:01.116767       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T14:08:09.000398688Z I1024 14:08:09.000324       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T14:08:13.995377731Z I1024 14:08:13.995321       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T14:08:25.077334876Z I1024 14:08:25.077232       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T14:08:30.062326624Z I1024 14:08:30.062260       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T14:08:36.393984313Z I1024 14:08:36.393894       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T14:08:41.388308484Z I1024 14:08:41.388230       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T14:08:46.414430868Z I1024 14:08:46.414369       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T14:08:52.807133453Z I1024 14:08:52.807031       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T14:08:57.801604876Z I1024 14:08:57.801526       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T14:09:19.695683347Z I1024 14:09:19.695596       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T14:42:40.388805605Z I1024 14:42:40.388704       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T14:43:07.750215042Z I1024 14:43:07.750164       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T14:43:12.749125187Z I1024 14:43:12.749068       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T14:43:36.448475706Z I1024 14:43:36.448412       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T14:43:41.459077492Z I1024 14:43:41.458973       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
